id	movies_95_04	main_genre
5262	11	Drama
14482	15	Drama
605	22	Drama
6156	31	Drama
7462	16	Drama
7068	12	Drama
15295	18	Romance
264	19	Drama
14619	20	Comedy
8759	10	Drama
14481	19	Drama
2150	22	Drama
15939	13	Crime
8741	13	Drama
14575	10	Family
13777	17	Music
1394	88	Sci-Fi
1471	10	Drama
8382	23	Drama
12354	13	Adult
10836	12	Action
6983	11	Drama
1437	10	Crime
9926	13	Comedy
7966	17	Drama
13391	11	Thriller
2147	10	Comedy
2309	39	Adult
10653	13	Romance
14664	44	Comedy
13615	15	Adult
15457	10	Drama
1305	36	Animation
5206	14	Drama
13778	12	Family
13011	15	Adult
3561	10	Sci-Fi
11356	12	Drama
8728	12	Family
15781	19	Drama
4877	12	Drama
16889	12	Romance
15372	10	Mystery
5438	13	Action
237	45	Drama
15094	10	Drama
5497	19	Action
9612	16	Romance
17223	32	Adult
17049	16	Drama
9767	15	Comedy
12712	38	Crime
8599	13	Drama
14957	14	Romance
12294	13	Drama
14404	15	Drama
6892	26	Family
8932	10	Drama
11572	12	Drama
15474	32	Drama
174	28	Adult
17542	13	Drama
14548	11	Comedy
14735	11	
14895	13	Adult
2682	18	Music
13448	11	Drama
10548	13	Romance
3788	11	Adult
13139	15	Thriller
4181	13	Romance
13388	12	Thriller
9201	13	Drama
16017	17	Drama
17384	21	Crime
12592	10	Drama
11594	19	Drama
15276	13	Drama
16971	11	Romance
4315	16	Fantasy
14601	11	Crime
3255	27	Music
6323	124	Adult
1172	14	Drama
13294	10	Action
15563	10	Romance
9334	11	Music
17270	10	Comedy
8069	14	Adventure
16780	10	Music
8773	12	Animation
13210	10	Drama
10213	24	Family
5518	27	Action
12445	40	Adult
6249	61	Adult
9473	17	Drama
15203	11	Comedy
698	16	Drama
17823	26	Drama
15013	14	Adult
3545	26	Thriller
7593	15	Thriller
4285	12	Horror
865	14	Drama
2362	10	Animation
6599	15	Crime
1490	15	Western
298	20	Comedy
17250	14	Horror
5950	15	Adventure
992	15	Drama
15163	25	Drama
7466	18	Drama
9881	15	Comedy
6149	14	Comedy
6572	21	War
12677	16	Drama
4642	16	Crime
1351	16	Animation
11080	14	Drama
9887	20	
9727	11	Mystery
2672	14	Music
17057	13	Comedy
15431	27	Drama
834	43	Thriller
167	247	Adult
4180	18	Thriller
15576	14	Drama
887	14	Drama
8363	14	Drama
8144	14	Drama
8136	32	Sci-Fi
14296	14	Crime
3874	11	Comedy
3879	14	Comedy
6333	22	Adult
17372	10	Drama
16877	14	Romance
9810	25	Drama
17240	12	Drama
4621	15	Comedy
7425	16	Drama
16138	19	Comedy
10785	16	Comedy
10795	22	Action
3840	11	Animation
14701	16	Adult
11977	13	Romance
16749	16	Horror
413	15	Drama
7607	10	Music
2154	22	Drama
9956	12	Drama
11053	21	Drama
13146	10	Romance
16357	13	Drama
13956	14	Comedy
2842	14	Music
8664	17	Drama
11049	17	Drama
1688	319	Adult
16884	10	Drama
4297	13	Drama
10482	12	Drama
17402	10	Comedy
12581	16	Comedy
4136	21	Action
6490	18	Comedy
16039	18	Drama
6785	13	Thriller
6674	23	Sci-Fi
220	35	Comedy
6821	19	Drama
17877	16	Family
7933	11	Comedy
3305	18	Thriller
7297	11	Horror
16139	10	Family
14021	26	Drama
16477	11	Drama
12392	37	Comedy
1514	10	Drama
2549	66	Thriller
8509	75	Action
12507	17	Sci-Fi
859	17	Comedy
15821	15	Drama
8374	11	Crime
8225	24	Animation
15247	11	Romance
16951	14	Fantasy
13698	10	Romance
8802	21	Fantasy
13143	11	Thriller
7818	10	Drama
9610	10	Drama
16966	10	Drama
7515	17	Adult
9063	14	Comedy
11643	21	Drama
1093	18	Drama
6700	51	Sci-Fi
13118	12	Drama
962	15	Comedy
15411	10	Romance
3407	34	Drama
6133	14	Drama
2433	15	Fantasy
4046	10	Drama
15220	11	War
14872	13	Thriller
5839	10	Drama
4171	18	Drama
11965	17	Adult
1062	14	Drama
13782	11	Crime
13152	12	Drama
15110	11	
4979	11	Drama
17462	10	Drama
12986	14	Adult
10432	15	Drama
2757	23	Crime
9513	20	Thriller
14200	10	Drama
5143	16	Comedy
966	29	Drama
537	43	Comedy
6403	10	Adult
2928	18	Music
17667	11	Drama
6961	27	Romance
12388	14	Drama
1648	12	Adult
9862	11	Drama
15356	11	Crime
12914	18	Comedy
9319	13	War
13406	15	Thriller
11499	33	Adult
2827	15	Drama
10352	10	Music
14220	15	Thriller
14595	29	Drama
9280	12	Drama
12313	30	Adult
3458	10	Mystery
281	20	Comedy
16060	12	Drama
8385	14	Drama
8284	12	Comedy
15532	16	Drama
30	14	Drama
15653	10	Drama
6660	12	Drama
5875	31	Comedy
1922	48	Adult
1005	15	Drama
7067	13	Thriller
15943	11	Thriller
1530	20	Drama
8172	33	Animation
4409	20	Drama
2501	12	Comedy
3180	11	Music
11407	10	Drama
17763	10	
6465	16	Family
15694	10	Music
7063	12	Drama
16100	25	Drama
11544	23	Comedy
13187	24	Romance
14515	15	Drama
2904	13	Music
12959	10	Comedy
4732	13	Drama
7226	17	Action
9824	22	Drama
361	21	Romance
10411	12	Romance
2772	31	Crime
317	21	Drama
11418	25	Horror
4973	11	Drama
500	14	Thriller
5623	43	Comedy
16467	10	Drama
14663	10	Drama
3164	12	Romance
8927	25	Comedy
6925	13	Drama
16347	12	Drama
1110	21	Thriller
16835	14	Drama
6907	22	Animation
15703	10	Drama
16194	15	Romance
7781	14	Drama
16418	29	Drama
13791	19	Crime
16591	10	Romance
444	10	Thriller
7488	10	Drama
2338	134	Adult
13624	24	Crime
15803	10	Comedy
6859	20	Crime
14020	12	Comedy
12032	13	Romance
4763	30	Drama
10123	13	Thriller
12331	16	Adult
8195	23	Drama
16814	12	Drama
13440	17	Comedy
1469	15	Drama
13160	26	Comedy
13325	11	Drama
8980	19	Family
13108	13	Drama
16438	11	Crime
7283	25	Comedy
2183	44	Drama
7547	23	Adult
16731	12	Adult
2589	11	Family
13338	31	Comedy
5767	20	Drama
12596	12	Romance
771	32	Drama
3907	58	Comedy
3698	11	Drama
80	19	Adult
7798	11	Adventure
2573	26	Drama
7752	10	Thriller
7766	25	Drama
9851	12	Action
8392	11	Comedy
6758	53	Drama
2223	13	Comedy
7943	25	Comedy
3967	14	Comedy
1870	41	Adult
1114	23	Drama
12753	13	Drama
14033	10	Drama
6148	17	Romance
12504	14	Adult
6032	27	Drama
54	23	Drama
2267	16	Adult
4090	30	Drama
2530	50	Crime
8993	43	Comedy
7826	19	Drama
8798	11	Comedy
14501	10	Drama
10689	11	Comedy
16658	10	Drama
7420	14	Comedy
12404	20	Drama
16849	21	Drama
10887	10	Comedy
1225	12	Comedy
1679	44	Adult
9251	11	Drama
10981	17	Comedy
6200	38	Adult
2295	138	Adult
4067	22	Fantasy
11307	26	Comedy
10525	14	Romance
17329	10	Drama
17299	16	Adult
1686	37	Adult
2028	14	Drama
3838	10	Drama
17014	11	Drama
7277	36	Comedy
10951	14	Drama
11880	15	Crime
8809	10	Comedy
9712	11	Thriller
1605	105	Adult
15983	13	Comedy
12181	10	Drama
14291	10	Drama
5737	13	Drama
683	36	Comedy
14405	12	Thriller
4774	10	Romance
5591	12	Drama
12833	22	Comedy
10763	16	Comedy
4493	18	Drama
7927	21	Drama
3301	26	Thriller
3775	10	Drama
3061	13	Comedy
11378	12	Drama
7645	31	Drama
8736	15	Comedy
13194	13	Drama
4923	34	Comedy
4813	14	Drama
13434	12	Crime
16544	11	Comedy
16464	12	Drama
11260	11	Drama
9688	15	Drama
2569	22	Crime
12424	12	Comedy
10098	27	Comedy
16300	13	Drama
7387	11	Romance
8401	23	Drama
5127	13	Drama
11031	11	Family
15028	10	Adult
8337	12	Drama
1181	43	Comedy
14624	12	Comedy
17140	10	Drama
729	42	Drama
4597	25	Crime
6677	19	Romance
9689	14	Drama
7376	60	Family
8247	10	Drama
13497	15	Comedy
14267	10	Family
1392	67	Sci-Fi
590	14	Thriller
11374	10	Drama
3089	32	Thriller
2603	21	Music
14652	12	Comedy
13432	27	Drama
2364	34	Animation
1894	180	Adult
16641	18	Drama
9590	15	Drama
11714	20	Drama
5216	15	Romance
4367	37	Drama
7072	15	Drama
723	48	Drama
3037	11	Crime
15731	29	Drama
4104	31	Horror
1587	139	Adult
11452	13	Drama
514	33	Drama
4641	17	Crime
9199	15	Comedy
10263	18	Drama
5687	14	Adult
13010	29	Adult
12378	13	Drama
9065	14	Drama
1071	19	Drama
17385	10	Comedy
10252	20	Drama
3600	15	Drama
4185	14	Drama
5145	13	Drama
10221	17	Drama
9254	12	Drama
14434	16	Drama
16711	16	Romance
11813	38	Drama
623	33	Drama
1237	14	Comedy
8705	12	Drama
4817	10	Drama
17189	11	Drama
1178	21	Drama
14839	10	Drama
12161	17	Drama
4361	14	Drama
4462	20	Drama
55	16	Drama
6524	44	Crime
9229	18	Sci-Fi
14449	13	Drama
3786	10	Comedy
10427	13	Comedy
1342	14	Sci-Fi
10356	40	Thriller
7212	29	Fantasy
2636	72	Music
6747	16	Thriller
7742	10	Comedy
16735	12	Romance
17015	15	Drama
811	17	Drama
14073	14	Adult
14208	17	Romance
4027	21	Drama
2105	10	Drama
5466	11	Action
4163	57	Horror
10634	41	Drama
17400	12	Drama
14203	12	War
5093	24	Drama
3965	16	Drama
5372	39	Action
6867	19	Thriller
17421	10	Crime
2550	30	Drama
3052	42	Crime
11921	12	Crime
9166	25	Drama
5327	18	Drama
8041	19	Drama
15086	12	Drama
17800	10	Romance
5928	12	Comedy
3293	20	Drama
3451	16	Drama
6500	13	Drama
7776	20	Comedy
8772	10	Action
1763	14	Adult
7969	17	Drama
4743	29	Drama
14302	13	Comedy
15503	12	Drama
300	18	Comedy
4718	22	Drama
5079	10	Drama
6755	24	Drama
15435	25	Comedy
9973	17	Thriller
10649	18	Drama
10269	14	Drama
13395	15	Drama
6296	59	Adult
17640	10	Adult
11123	14	Thriller
15102	12	Romance
1831	62	Adult
11608	32	Drama
4443	11	Comedy
13163	10	Comedy
7908	17	Drama
528	42	Comedy
1300	44	Fantasy
2434	45	Sci-Fi
10472	11	Romance
4488	10	Drama
81	80	Adult
1773	55	Adult
12890	15	Drama
17312	25	Adult
16368	13	Drama
1224	22	Drama
7270	25	Comedy
13001	12	Romance
6118	16	Romance
1815	176	Adult
9589	13	Drama
1873	38	Adult
17064	20	Drama
1374	22	Animation
6140	18	Drama
14625	13	Drama
9453	11	Drama
10842	11	Thriller
14362	16	Adult
8648	10	Romance
12836	17	Drama
13052	13	Adult
210	34	Drama
17646	13	Drama
7783	23	Drama
4854	11	Drama
1862	57	Adult
17280	10	Drama
17023	16	Drama
8560	11	Sci-Fi
7479	11	Family
7214	34	Drama
7402	13	Drama
5045	10	War
2837	10	Music
13162	12	Comedy
5714	13	Drama
4148	48	Horror
9941	17	Drama
15349	23	Drama
12164	10	Drama
10779	16	Drama
8718	10	Drama
8046	30	Drama
8290	11	Sci-Fi
9549	34	Drama
3889	12	Music
12796	18	Drama
11409	13	Thriller
12763	10	Crime
13411	23	Drama
4572	19	Drama
11110	16	Comedy
1338	18	Animation
16855	15	Comedy
2874	21	Music
16190	11	Drama
7060	27	Comedy
16990	12	Drama
11004	12	Romance
7571	14	Thriller
12979	33	Adult
15441	16	Drama
2457	37	Crime
1912	53	Adult
9857	20	Action
78	50	Adult
17371	10	Drama
9441	17	Drama
7985	19	Drama
11577	12	Drama
8575	13	Drama
16701	11	Comedy
10647	13	Drama
11047	18	Drama
14046	11	Adult
4478	27	Drama
7028	11	Drama
17368	13	Drama
2829	26	Thriller
13896	17	Romance
15046	22	Drama
7415	31	Drama
6331	12	Adult
9496	11	Thriller
2007	12	Drama
4205	12	Music
10684	11	Sci-Fi
11151	11	Drama
10086	24	Comedy
17386	17	Drama
14657	23	Comedy
9312	15	Comedy
13214	12	Romance
3934	12	Music
11682	16	Romance
765	32	Family
13209	24	Drama
13932	11	Comedy
4785	10	Drama
15190	11	Drama
15564	18	Thriller
5740	17	Drama
5576	18	Drama
4348	11	Crime
16743	12	Adult
13180	23	Romance
13168	28	Romance
889	14	Drama
14301	10	Crime
12349	10	Adult
15601	22	Drama
3088	11	Drama
7633	27	Drama
8040	27	Drama
7639	12	Drama
6211	16	Adult
6766	11	Action
2860	20	Music
2649	12	Music
13083	11	Music
13833	10	Horror
4802	18	Thriller
11836	14	Crime
14226	18	Drama
6289	20	Adult
12436	36	Adult
10415	12	Drama
15462	15	Music
4872	12	Drama
13796	16	Drama
17077	11	Animation
5822	33	Drama
11272	16	Thriller
3225	30	Romance
13978	12	Drama
15452	12	Fantasy
6547	49	Crime
11562	10	Comedy
5036	34	Drama
8032	12	Drama
4427	99	Family
13103	17	Sci-Fi
4583	20	Drama
13888	10	Drama
8620	23	Drama
8024	20	Drama
13957	10	Comedy
3176	39	Comedy
3691	27	Thriller
12438	43	Adult
17899	12	Romance
5022	10	Animation
12602	37	Drama
13297	10	Drama
7354	10	Drama
14052	74	Adult
9983	12	Drama
11713	10	Drama
689	70	Family
10400	19	Music
6491	10	Music
1683	25	Adult
8160	35	Animation
6833	30	Comedy
12129	23	Drama
15947	10	Drama
898	12	Fantasy
12136	11	Drama
5102	22	Drama
1495	21	Drama
12198	31	Comedy
16964	21	Drama
15722	10	Comedy
16832	12	Drama
7322	13	Drama
8449	17	Drama
16892	14	Thriller
4210	18	Music
11380	13	Drama
7791	24	Drama
16111	53	Drama
7811	16	Drama
10140	13	Drama
8646	17	Drama
5846	10	Crime
9303	19	Thriller
6080	17	Comedy
1409	43	Animation
14174	14	Drama
7994	19	Romance
8328	10	Comedy
7434	12	Drama
177	278	Adult
2185	38	Drama
9140	11	Drama
11956	11	Adult
5840	56	Crime
14800	13	Drama
7892	13	Drama
8360	15	Drama
7056	13	Drama
1780	48	Adult
13383	16	Drama
11493	30	Adult
14068	37	Adult
4438	14	Drama
2723	120	Sci-Fi
14886	10	Adult
11668	25	Drama
16466	13	Drama
14870	10	Comedy
13907	41	Music
1858	42	Adult
2661	21	Comedy
7307	10	Romance
4428	18	Drama
8395	32	Comedy
2639	15	Music
11286	12	Mystery
1340	21	Animation
6512	11	Music
3536	22	Drama
12078	10	Romance
8853	11	Romance
11684	13	Drama
6055	28	Sci-Fi
7186	12	Action
10608	17	Comedy
10471	11	Romance
11369	13	Comedy
13251	18	Drama
8732	14	Drama
12470	21	Adult
16480	18	Drama
8182	14	Drama
11336	10	Action
17526	12	Adult
16035	10	Comedy
15546	10	Drama
9577	15	Drama
11283	18	Drama
1167	10	Action
4600	14	Crime
4028	12	Drama
5120	18	Drama
6428	35	Adult
3044	28	Crime
13767	11	Drama
13343	18	Comedy
8656	34	Thriller
13216	12	Romance
710	14	Comedy
7904	33	Drama
9517	12	Drama
9330	25	Drama
5266	20	Family
11436	29	Drama
14272	25	Drama
12966	10	Adult
12429	12	Adult
1307	30	Animation
17113	12	Comedy
4238	21	Drama
8618	11	Drama
17561	12	Romance
7321	11	Drama
7550	24	Adult
9633	14	Animation
17437	11	Crime
9759	17	Thriller
13846	10	Drama
9736	19	Sci-Fi
9681	25	Drama
12024	11	Drama
17860	11	Comedy
5937	29	Thriller
12888	15	Comedy
7408	21	Comedy
405	12	Drama
7824	41	Drama
1427	50	Sci-Fi
16523	15	Drama
11133	10	Drama
17602	10	Comedy
15799	10	Drama
1574	54	Adult
13699	19	Comedy
12915	12	Thriller
17850	11	Drama
9232	14	Action
5286	22	Drama
2516	48	Crime
8719	10	Family
3326	12	Drama
13991	10	Drama
3772	11	Comedy
1695	20	Adult
1509	38	Comedy
16783	10	Comedy
5810	18	Comedy
4213	13	Comedy
8267	15	Sci-Fi
4320	19	Sci-Fi
17397	10	Drama
12864	12	Drama
16129	18	Drama
11537	25	Music
8713	13	Thriller
10595	13	Comedy
9628	10	Drama
10025	54	Adult
4855	17	Comedy
16	33	Drama
16812	14	Drama
9415	10	Drama
16667	11	Horror
7303	29	Drama
3298	21	Drama
5328	10	Family
15258	14	Comedy
11632	19	Drama
10592	12	Family
3215	25	Drama
621	13	Comedy
1638	29	Adult
10941	11	Thriller
6046	36	Sci-Fi
6583	22	Crime
17726	10	Drama
10182	11	Comedy
11159	17	Horror
9439	24	Drama
15540	13	Drama
16328	25	Comedy
15240	22	Drama
1027	14	Drama
5375	11	Action
6550	20	Drama
2965	16	Music
15081	16	Adult
11251	13	Drama
14114	14	Drama
9137	21	Drama
6497	22	Romance
601	10	Drama
34	12	Drama
14238	10	Drama
7809	22	Drama
5698	30	Drama
6654	16	Drama
7179	19	Comedy
5323	16	Crime
3517	21	Drama
11078	20	Drama
3002	16	Comedy
10037	11	Adult
6714	17	Comedy
12271	16	Crime
13329	20	Comedy
6769	13	Drama
15071	17	Thriller
11153	15	Drama
9696	15	Drama
8811	10	Comedy
827	49	Drama
744	38	Music
16301	20	Drama
17824	11	Drama
9248	25	Drama
2261	16	Comedy
12735	12	Drama
13987	22	Romance
10631	13	Sci-Fi
2444	49	Sci-Fi
13196	49	Romance
12927	14	Drama
1281	10	Drama
4632	32	Crime
4748	14	Drama
14473	14	Drama
14865	12	Comedy
1939	33	Adult
15367	13	Drama
13664	10	Comedy
3399	31	Drama
10966	15	Romance
1887	79	Adult
5062	13	War
12902	16	Drama
16941	12	Drama
10390	21	Drama
14355	11	Adult
14559	13	Drama
11928	18	Comedy
9817	10	Family
14921	17	Adult
3321	33	Drama
17578	14	Action
10332	14	Comedy
8376	44	Crime
186	33	Adult
376	15	Drama
14617	12	Comedy
15683	10	Comedy
8666	12	Drama
6972	12	Drama
17688	21	Drama
920	15	Western
13223	13	Drama
6846	19	Drama
6528	10	Comedy
8764	10	Thriller
8003	11	Comedy
9818	11	Drama
16919	11	Drama
11481	14	Adult
4243	38	Drama
16727	10	Comedy
16384	11	Comedy
15643	19	Comedy
13921	13	Drama
9113	25	Drama
15208	19	Music
14273	18	Drama
3124	60	Crime
12662	10	Drama
11710	14	Romance
9128	19	Drama
325	16	Comedy
15332	10	Drama
13340	10	Family
886	13	Thriller
4135	17	Comedy
4179	13	Comedy
16716	13	Drama
11689	12	Drama
12644	11	Romance
16909	14	Drama
15504	15	Drama
13528	11	Romance
5172	21	Drama
6979	10	Drama
1593	89	Adult
15285	12	Family
16871	10	Drama
16597	13	Comedy
718	12	Comedy
2718	28	Music
15913	16	Drama
2117	15	Drama
8768	18	Drama
2118	21	Drama
6715	45	Comedy
5442	36	Action
14340	11	Drama
2847	12	Music
5804	13	Drama
10721	10	Comedy
2778	21	Comedy
2735	21	Comedy
17361	10	Drama
13185	42	Romance
16566	10	Drama
864	14	Action
1630	47	Adult
17564	13	Drama
2060	16	Drama
7516	79	Adult
14011	11	Drama
4888	11	Drama
16449	10	Romance
5338	11	Family
13914	15	Romance
5270	20	Comedy
7341	15	Drama
1208	11	Comedy
7836	16	Thriller
14783	10	Drama
6071	17	Sci-Fi
1996	35	Adult
4724	14	Romance
17170	12	Action
4142	17	Comedy
17840	12	Adult
12714	10	Family
12647	10	Mystery
9657	14	Comedy
10942	19	Drama
2053	14	Drama
14379	15	Drama
14820	12	Drama
10902	25	Comedy
14804	12	Comedy
14981	10	Romance
16816	14	Comedy
17388	10	Drama
16789	14	Crime
17612	11	Adult
17283	15	Drama
12119	14	Drama
5830	17	Horror
7709	12	War
14191	10	Romance
13336	14	Comedy
14748	22	Drama
12747	22	Drama
10698	22	Adult
4322	38	Sci-Fi
5263	20	Drama
1047	53	Drama
9709	11	Sci-Fi
12659	14	Drama
16260	15	Crime
4596	10	Drama
15387	13	Romance
12988	10	Drama
1689	106	Adult
14382	10	Comedy
9614	30	Drama
13785	13	Crime
17788	11	Family
4260	52	Sci-Fi
4935	21	Drama
14093	19	Sci-Fi
9187	19	Drama
10187	21	Comedy
11296	39	Drama
17515	11	Adult
5771	12	Drama
8600	23	Thriller
5784	18	Drama
12102	12	Romance
17729	10	Drama
1860	56	Adult
14782	10	Comedy
5943	24	Crime
2891	21	Music
8983	35	Comedy
16821	12	Horror
14636	19	Comedy
1324	14	Animation
1576	14	Adult
16010	20	Drama
8218	16	Comedy
12842	10	Drama
6816	23	Thriller
10120	11	Animation
4459	13	Romance
9321	15	Comedy
3506	10	Drama
14253	11	Drama
16362	10	Thriller
9127	19	Crime
2713	39	Music
2122	15	Drama
2431	39	Animation
8755	15	Drama
10105	10	Comedy
1653	10	Adult
3367	29	Drama
15302	15	Drama
17020	13	Drama
752	19	Drama
17633	12	Drama
11317	11	Drama
9587	16	Comedy
12805	10	Comedy
5117	27	Comedy
10617	12	Sci-Fi
3830	12	Action
14529	12	Crime
15533	13	Drama
10797	30	Action
10800	25	Action
16282	11	Comedy
13024	15	Drama
14677	11	Comedy
13236	33	Romance
12305	32	Crime
823	15	Drama
14836	22	Drama
13226	22	Drama
9825	10	Drama
16377	22	Romance
3680	10	Adult
12274	48	Thriller
13461	34	Drama
10021	19	Adult
11301	14	Drama
15485	15	Drama
